nctId,title,condition,intervention,phase,status,enrollment,startDate,completionDate,primaryOutcome,adverseEvents,sponsor,location
NCT04123456,Metformin for Alzheimer's Disease Prevention,Alzheimer's Disease,Metformin 1000mg BID,Phase II,Completed,120,2019-03-15,2022-08-30,"65% showed reduced cognitive decline vs placebo (p<0.05)","GI distress (12%),Vitamin B12 deficiency (5%)",Johns Hopkins University,"Baltimore, MD"
NCT03998877,Sildenafil in Vascular Dementia,Vascular Dementia,Sildenafil 50mg daily,Phase II,Recruiting,80,2020-06-01,2024-12-31,Improved cerebral blood flow by 23% on MRI,"Headache (18%),Flushing (10%)",University College London,"London, UK"
NCT05234567,Imatinib for Parkinson's Disease,Parkinson's Disease,Imatinib 400mg daily,Phase I,Active,40,2022-01-10,2024-06-30,Safety profile established; well-tolerated,"Mild nausea (8%),Fatigue (5%)",Mayo Clinic,"Rochester, MN"
NCT04567890,Pioglitazone in Alzheimer's Disease,Alzheimer's Disease,Pioglitazone 45mg daily,Phase III,Completed,350,2018-09-01,2023-03-15,"Slowed cognitive decline by 30% in APOE4 carriers","Weight gain (15%),Edema (8%)",University of Southern California,"Los Angeles, CA"
NCT03456789,Aspirin for Alzheimer's Prevention,Alzheimer's Disease,Aspirin 81mg daily,Phase III,Recruiting,2000,2021-01-01,2026-12-31,Primary prevention of dementia in at-risk elderly,"GI bleeding (2%),Bruising (5%)",National Institute on Aging,"Multi-center, USA"
NCT04789012,Donepezil + Memantine Combination,Moderate-Severe Alzheimer's,Donepezil 10mg + Memantine 20mg,Phase IV,Completed,180,2019-05-01,2022-11-30,"Synergistic effect: 40% improvement in ADAS-Cog","Dizziness (10%),Diarrhea (8%)",Eisai Pharmaceuticals,"Tokyo, Japan"
NCT05123456,Celecoxib for Alzheimer's Disease,Alzheimer's Disease,Celecoxib 200mg BID,Phase II,Terminated,95,2020-03-01,2021-09-15,Terminated early due to cardiovascular safety concerns,"MI (3%),Stroke (2%)",University of Washington,"Seattle, WA"
NCT03789456,Lithium Microdose in Alzheimer's,Mild Cognitive Impairment,Lithium 300mcg daily,Phase II,Completed,60,2019-11-01,2022-05-30,"Reduced tau phosphorylation by 35%, improved memory scores","Tremor (5%),Polyuria (8%)",University of São Paulo,"São Paulo, Brazil"
NCT04890123,Valproic Acid for Frontotemporal Dementia,Frontotemporal Dementia,Valproic Acid 500mg BID,Phase II,Active,75,2021-07-01,2024-12-31,Behavioral symptoms reduced by 28% on NPI scale,"Tremor (12%),Weight gain (10%)",UCSF Memory and Aging Center,"San Francisco, CA"
NCT05345678,Atorvastatin for Alzheimer's Prevention,Alzheimer's Disease,Atorvastatin 80mg daily,Phase III,Recruiting,500,2022-09-01,2027-08-31,Evaluating amyloid reduction via PET imaging,"Myalgia (8%),Elevated LFTs (3%)",Cleveland Clinic,"Cleveland, OH"
NCT04234567,Hydroxychloroquine in Alzheimer's,Alzheimer's Disease,Hydroxychloroquine 200mg BID,Phase II,Suspended,50,2020-04-01,2020-11-30,Suspended due to COVID-19 pandemic; preliminary data inconclusive,"Retinopathy screening required,GI upset (10%)",Stanford University,"Palo Alto, CA"
NCT03567890,Doxycycline for Alzheimer's Disease,Alzheimer's Disease,Doxycycline 100mg BID,Phase II,Completed,80,2018-06-01,2021-12-31,"Anti-inflammatory effects; 22% reduction in CSF inflammatory markers","Photosensitivity (15%),Nausea (8%)",Columbia University,"New York, NY"
NCT05456789,Propranolol for PTSD and Dementia Risk,PTSD with MCI,Propranolol 40mg BID,Phase II,Recruiting,100,2023-01-15,2025-12-31,Evaluating memory consolidation and amyloid burden,"Bradycardia (5%),Fatigue (12%)",VA Boston Healthcare System,"Boston, MA"
NCT04678901,Levodopa Cognitive Effects in PD,Parkinson's Disease with Dementia,Levodopa/Carbidopa 25/100mg TID,Phase IV,Completed,150,2019-08-01,2022-10-31,"Improved motor function but mixed cognitive effects","Dyskinesia (25%),Hallucinations (8%)",Michael J. Fox Foundation,"Multi-center, USA"
NCT05567890,Rivastigmine Patch in Lewy Body Dementia,Lewy Body Dementia,Rivastigmine Patch 9.5mg/24h,Phase III,Active,200,2022-03-01,2025-06-30,"Improved cognition and reduced hallucinations","Skin irritation (20%),Nausea (10%)",Novartis Pharmaceuticals,"Basel, Switzerland"
