pmid,title,authors,journal,year,citationCount,abstract,drugMentioned,studyType,keyFindings
33445566,AMPK Activation Reduces Amyloid Burden in Alzheimer's Mouse Models,"Chen L, Wang Y, Zhang M",Nature Neuroscience,2021,234,"Study demonstrates metformin-induced AMPK activation reduces amyloid-β plaques by 45% in APP/PS1 mice",Metformin,Preclinical,"AMPK activation,45% plaque reduction,Improved spatial memory"
34567890,PDE5 Inhibition Improves Cerebral Blood Flow in Vascular Dementia,"Smith J, Brown A, Wilson K",Lancet Neurology,2020,189,"Phase II trial showing sildenafil increases cerebral perfusion by 23% in vascular dementia patients",Sildenafil,Clinical Trial,"23% CBF increase,Improved cognitive scores,Well-tolerated"
32123456,Tyrosine Kinase Inhibitors Target Tau Phosphorylation,"Yamamoto T, Lee S, Garcia R",Cell,2019,312,"Imatinib reduces tau phosphorylation at multiple epitopes and prevents neurofibrillary tangle formation",Imatinib,Preclinical,"Reduced p-tau,NFT prevention,Neuroprotection"
35678901,Cholinesterase Inhibitors and NMDA Antagonists: Synergistic Effects,"Mueller F, Schmidt H, Bauer W",JAMA Neurology,2022,156,"Meta-analysis of 12 trials showing 40% greater efficacy with donepezil-memantine combination vs monotherapy",Donepezil + Memantine,Meta-Analysis,"40% synergy,Improved ADAS-Cog,Reduced decline rate"
31234567,PPARγ Agonists in APOE4 Carriers with Alzheimer's Disease,"Johnson M, Davis P, Anderson L",Alzheimer's & Dementia,2020,198,"Pioglitazone shows 30% cognitive benefit specifically in APOE4 carriers; no effect in non-carriers",Pioglitazone,Clinical Trial,"APOE4-specific effect,30% benefit,Precision medicine approach"
36789012,Low-Dose Aspirin and Dementia Risk: 20-Year Follow-Up,"Thompson R, White J, Clark S",BMJ,2023,445,"Observational study of 50000 participants; aspirin 81mg daily associated with 15% reduced dementia risk",Aspirin,Observational,"15% risk reduction,Cardiovascular benefit,Long-term safety"
33567890,Lithium Microdosing Reduces Tau Pathology in MCI,"Oliveira C, Santos M, Silva A",Molecular Psychiatry,2021,167,"Lithium 300mcg daily reduces CSF p-tau by 35% and improves memory scores in MCI patients",Lithium,Clinical Trial,"35% p-tau reduction,Memory improvement,Minimal side effects"
34890123,Statin Therapy and Alzheimer's Disease: Systematic Review,"Williams K, Taylor M, Harris D",Neurology,2022,289,"Review of 25 studies; atorvastatin 80mg shows 22% reduction in amyloid PET signal over 2 years",Atorvastatin,Systematic Review,"22% amyloid reduction,Dose-dependent effect,Cardiovascular benefit"
32456789,HDAC Inhibition Enhances Memory Consolidation,"Zhang W, Liu X, Chen Y",Science,2019,401,"Valproic acid enhances histone acetylation and improves long-term memory formation in rodents and humans",Valproic Acid,Preclinical + Clinical,"Enhanced H3 acetylation,Improved LTM,Cognitive enhancement"
35123456,Antimalarial Drugs Modulate Neuroinflammation via TLR Inhibition,"Patel R, Kumar S, Sharma V",Nature Immunology,2022,178,"Hydroxychloroquine inhibits TLR7/9 signaling and reduces microglial activation in AD models",Hydroxychloroquine,Preclinical,"TLR7/9 inhibition,Reduced neuroinflammation,Microglial modulation"
33890124,Tetracycline Antibiotics as Matrix Metalloproteinase Inhibitors,"Rodriguez M, Fernandez A, Lopez J",Journal of Neuroinflammation,2021,134,"Doxycycline inhibits MMP-9 and reduces blood-brain barrier disruption in neuroinflammation models",Doxycycline,Preclinical,"MMP-9 inhibition,BBB protection,Anti-inflammatory"
36234567,Beta-Blockers Prevent Traumatic Memory Consolidation,"Cohen H, Kaplan Z, Zohar J",Biological Psychiatry,2023,92,"Propranolol 40mg within 6h of trauma reduces PTSD symptoms by 60% and prevents memory-related decline",Propranolol,Clinical Trial,"60% PTSD reduction,Memory modulation,Early intervention critical"
34123456,Macrolide Antibiotics Exhibit Neuroprotective Properties,"Kim S, Park J, Choi M",ACS Chemical Neuroscience,2020,145,"Azithromycin reduces neuroinflammation and improves outcomes in bacterial meningitis-associated cognitive impairment",Azithromycin,Preclinical + Clinical,"Anti-inflammatory,Neuroprotection,Improved outcomes"
35456789,Gabapentinoids Modulate Calcium Channels in Alzheimer's,"Brown T, Green R, Black P",Neuropharmacology,2022,112,"Gabapentin reduces aberrant calcium signaling in AD neurons and improves synaptic function",Gabapentin,Preclinical,"Calcium modulation,Synaptic protection,Reduced excitotoxicity"
32890125,COX-2 Inhibitors and Alzheimer's Disease: Risk-Benefit Analysis,"Martinez E, Gonzalez F, Diaz C",Cochrane Database,2019,267,"Celecoxib shows anti-inflammatory benefits but cardiovascular risks limit use; careful patient selection required",Celecoxib,Systematic Review,"Anti-inflammatory benefit,CV risk concerns,Patient selection critical"
